"","coefficients","std_errors","t_values","p_values","r_squared","adj_r_squared","f_statistic","f_pvalue"
"(Intercept)",0.0780030411401103,0.00787476269987631,9.9054465655626,5.03177007292393e-23,0.00149336093194094,0.00119368907147632,4.98332052140521,0.00186905168066282
"log(hc3)",0.0235596703789518,0.00622791385500387,3.78291526303348,0.000155906374565793,0.00149336093194094,0.00119368907147632,4.98332052140521,0.00186905168066282
"log(peducation)",1.27814860686657e-05,0.000200420628547962,0.0637733059778674,0.949152008889704,0.00149336093194094,0.00119368907147632,4.98332052140521,0.00186905168066282
"log(income3)",-0.000201797375878678,0.000331763009693973,-0.608257611554769,0.543030449831725,0.00149336093194094,0.00119368907147632,4.98332052140521,0.00186905168066282
