"","coefficients","std_errors","t_values","p_values","r_squared","adj_r_squared","f_statistic","f_pvalue"
"(Intercept)",0.000171614718530513,0.00450211951962744,0.0381186500674497,0.969593842640121,0.000113595109076239,-8.64421830895079e-05,0.567869659933543,0.56674976450992
"log(peducation)",0.00452387506645616,0.0055504807288627,0.815042027428696,0.415067669751255,0.000113595109076239,-8.64421830895079e-05,0.567869659933543,0.56674976450992
"log(income1)",-0.0121835669730679,0.0115323496234172,-1.05646874842646,0.290779640396009,0.000113595109076239,-8.64421830895079e-05,0.567869659933543,0.56674976450992
