"","coefficients","std_errors","t_values","p_values","r_squared","adj_r_squared","f_statistic","f_pvalue"
"(Intercept)",-0.372320688998672,9.24997220354927e-05,-4025.1006252301,0,0.0200318902203522,0.0197377821441878,68.1106431404403,1.35565075278466e-43
"log(hc2)",-7.81259280021997,0.5468945783009,-14.2853725566127,7.62002091762229e-46,0.0200318902203522,0.0197377821441878,68.1106431404403,1.35565075278466e-43
"log(peducation)",-0.000522773300844169,9.2287936204786e-05,-5.66458978651489,1.51452168552259e-08,0.0200318902203522,0.0197377821441878,68.1106431404403,1.35565075278466e-43
"log(income2)",-3.76509645418752e-05,0.000141043027051985,-0.266946656838257,0.789515739425891,0.0200318902203522,0.0197377821441878,68.1106431404403,1.35565075278466e-43
