"","Human Capital without Control Function","Human Capital with Control Function"
"delta","1.264","1.376"
"",NA,NA
"","[1.497,1.497]","[1.498,1.498]"
"control function","0","-0.903"
"",NA,NA
"","[0,0]","[0,0]"
"peducation","0","0"
"",NA,NA
"","[0,0]","[0,0]"
"theta_h","0.99","0.656"
"",NA,NA
"","[0.016,0.016]","[0.014,0.014]"
"theta_p","0.99","0.99"
"",NA,NA
"","[0.99,0.99]","[0.99,0.99]"
"ces_delta","0.01","0.99"
"",NA,NA
"","[0.01,0.01]","[0.01,0.01]"
"mu","0.99","-0.306"
"",NA,NA
"","[0.035,0.035]","[-0.431,-0.431]"
"rho","0.99","0.99"
"",NA,NA
"","[-3.675,-3.675]","[-4.558,-4.558]"
"outer elasticity of substitution","100","100"
"",NA,NA
"","[0.214,0.214]","[0.18,0.18]"
"inner elasticity of substitution","100","0.766"
"",NA,NA
"","[1.036,1.036]","[0.699,0.699]"
