"period","intercept","parent_education_coefficient","theta_h","theta_p","ces_delta","mu","rho","control_function_coefficient","residual_sd"
1,-0.00104992535566261,-5.72140069410521e-05,0.99,0.99,0.99,0.99,0.99,-0.0107469133086625,0.00165431438972192
2,1.37566136706918,9.0070723664157e-05,0.656075386442396,0.99,0.99,-0.305830919439647,0.99,-0.90337477162832,0.023473128265945
3,1.68042198680202,-0.00171736983161033,0.117648132560703,0.99,0.99,0.0583515689400674,0.99,-0.609358961195227,0.0305981590809085
