FIPS,Year,Real_Weighted_Center_Price,Real_Weighted_Family_Care_Price
01001,1990,39.83318550640473,38.10749282979415
01001,1991,40.26900527391465,38.527285077021354
01001,1992,40.57557606717861,38.822600102875455
01001,1993,40.93425989516346,39.16813410151639
01001,1994,41.25285437559457,39.47506577013186
01001,1995,41.59707458542586,39.80670321537083
01001,1996,41.95752140281822,40.15399413350179
01001,1997,42.211367298171844,40.39858713953796
01001,1998,42.36335728660038,40.545041765136965
01001,1999,42.59625654722278,40.76946594191742
01001,2000,42.979858207689325,41.13912672238441
01001,2001,43.261988376124236,41.41101803903335
01001,2002,43.419111666320184,41.56244436869019
01001,2003,43.70116799478691,41.83428327567852
01001,2004,44.01308522355417,42.13491528194608
01001,2005,44.454013856529365,42.55991575232977
01001,2006,44.87763232937982,42.96825840722927
01001,2007,45.24410116448545,43.32153343409804
01001,2008,47.252345286186404,39.66181236752109
01001,2009,47.761553080420505,41.77151242512449
01001,2010,47.28917657969698,42.99905049415313
01001,2011,46.02091319104558,43.42582343021465
01001,2012,45.36482083717819,44.342014495480235
01001,2013,44.964221811536355,45.45086986501765
01001,2014,44.50767433521867,46.45372844304105
01001,2015,45.83302555902677,46.493473012176274
01001,2016,46.56799546181219,45.94485414195588
01001,2017,46.84236237450307,44.98236866338746
01001,2018,47.89271241439638,46.10705779872409
01001,2019,49.25046866857519,47.51701531999179
01001,2020,50.8005582390534,49.11672478305227
01001,2021,50.26940060757077,48.695823769601134
01001,2022,48.39611843976132,46.66560125092342
01003,1990,40.38854838337911,39.65231265213046
01003,1991,40.830444444232114,40.0891226388263
01003,1992,41.14128951372024,40.396409286844325
01003,1993,41.50497418911668,40.755950708455224
01003,1994,41.82801058261575,41.07532492027074
01003,1995,42.17702998496994,41.42040644333247
01003,1996,42.54250222975301,41.78177600727837
01003,1997,42.799887299414685,42.03628444191062
01003,1998,42.95399636509431,42.18867611536814
01003,1999,43.19014275751845,42.42219810707046
01003,2000,43.57909267519973,42.806844373561326
01003,2001,43.86515636338788,43.089757750815416
01003,2002,44.02447030043703,43.2473226736545
01003,2003,44.310459119164186,43.53018151664002
01003,2004,44.62672516531434,43.843000687373774
01003,2005,45.07380132053854,44.28523003067449
01003,2006,45.50332597364626,44.71012627597712
01003,2007,45.87490419641438,45.07772253533107
01003,2008,50.63549947847033,50.146715161738086
01003,2009,50.70445123369178,50.293888875524225
01003,2010,49.7370720520367,49.405849082196916
01003,2011,47.9542703101605,47.70878884629811
01003,2012,46.83557156210152,46.669832140308124
01003,2013,45.99338687932158,45.90370249484315
01003,2014,45.110575199231995,45.09177972865124
01003,2015,46.638307979972225,45.62591155507857
01003,2016,47.56358906480097,45.575266876385946
01003,2017,48.01310558587697,45.103092783505154
01003,2018,48.1572877458136,45.96744624840877
01003,2019,48.64181990042344,47.12403305382413
01003,2020,49.3365883871798,48.475902814924446
01003,2021,48.05788721366749,47.84524169502294
01003,2022,45.44272332798274,45.64523065859143
01005,1990,32.572688337883456,29.591800521214175
01005,1991,32.92907011549215,29.91778387823491
01005,1992,33.17976146180386,30.14710632080608
