"","V1"
"12cog",0.926338921940888
"8cog",0.0148490590353523
"5cog",0.490108984900961
"12coginc",0.939219539898589
"8coginc",0.0320648931068646
"5coginc",0.477647200468609
"allcog",0.119317408481596
"cog8_12",0.0538132261620508
"12h",0.897267862977832
"8h",0.227836250476324
"5h",0.199558767731547
"12hinc",0.896107530148822
"8hinc",0.0242675949634787
"5hinc",0.20588646277253
"allh",0.018604518529976
