"","Age 8"
"Intercept","0.365"
"","0.021"
"","[0.336,0.396]"
"Cognition 5","0.03"
"","0.02"
"","[-0.003,0.054]"
"Health 5","-0.001"
"","0.018"
"","[-0.025,0.03]"
"Parental Cognition","0.009"
"","0.037"
"","[-0.021,0.087]"
"Parental Health","-0.022"
"","0.032"
"","[-0.07,0.03]"
"Price Clothing age 8","0.021"
"","0.022"
"","[-0.026,0.046]"
"Price Notebook age 8","-0.054"
"","0.026"
"","[-0.108,-0.024]"
"Price Mebendaziol age 8","-0.064"
"","0.022"
"","[-0.103,-0.031]"
"Price Food age 8","-0.052"
"","0.033"
"","[-0.097,0.017]"
"Order of Birth","0.056"
"","0.035"
"","[-0.002,0.105]"
"Number of Children","-0.049"
"","0.033"
"","[-0.095,0.006]"
"Male","-0.011"
"","0.023"
"","[-0.05,0.023]"
"Income","0.629"
"","0.096"
"","[0.432,0.729]"
"urban","0.042"
"","0.034"
"","[0.006,0.1]"
"Hindu","-0.053"
"","0.034"
"","[-0.099,0.009]"
"Muslim","-0.07"
"","0.034"
"","[-0.118,-0.011]"
"mother's age","-0.025"
"","0.02"
"","[-0.051,0.012]"
"castesc","-0.013"
"","0.036"
"","[-0.063,0.054]"
"castest","-0.004"
"","0.027"
"","[-0.047,0.039]"
"castebc","0.043"
"","0.036"
"","[-0.011,0.109]"
