"","Cognitive Skills","Health","Cognitive Skills","Health"
"delta","1.099","-0.081","1.081","-0.088"
"","0.073","0.056","0.072","0.056"
"","[1.011,1.249]","[-0.164,0.016]","[0.989,1.21]","[-0.171,0.008]"
"control function","0","0","-0.281","-0.091"
"","0","0","0.102","0.073"
"","[0,0]","[0,0]","[-0.402,-0.071]","[-0.187,0.055]"
"number of children","-0.015","-0.001","-0.019","-0.002"
"","0.011","0.007","0.011","0.007"
"","[-0.036,-0.002]","[-0.016,0.005]","[-0.042,-0.005]","[-0.019,0.005]"
"older siblings","0.005","0.013","0.008","0.014"
"","0.011","0.007","0.01","0.007"
"","[-0.01,0.022]","[0.004,0.026]","[-0.006,0.024]","[0.005,0.027]"
"gender","-0.021","0.012","-0.024","0.011"
"","0.008","0.007","0.008","0.007"
"","[-0.024,-0.003]","[0.003,0.025]","[-0.028,-0.007]","[0.003,0.025]"
"income","0.037","0.015","0.003","0.004"
"","0.037","0.029","0.041","0.028"
"","[-0.048,0.072]","[-0.028,0.063]","[-0.082,0.056]","[-0.035,0.05]"
"urban","-0.009","-0.003","-0.011","-0.004"
"","0.004","0.004","0.004","0.004"
"","[-0.015,-0.001]","[-0.008,0.004]","[-0.016,-0.002]","[-0.008,0.003]"
"Hindu","0.016","-0.004","0.012","-0.006"
"","0.01","0.006","0.01","0.006"
"","[0.003,0.034]","[-0.009,0.007]","[0,0.032]","[-0.012,0.006]"
"Muslim","-0.007","-0.002","-0.007","-0.002"
"","0.004","0.002","0.004","0.002"
"","[-0.012,-0.002]","[-0.004,0.001]","[-0.013,-0.002]","[-0.004,0.001]"
"mother's age","-0.016","-0.019","-0.013","-0.019"
"","0.008","0.008","0.008","0.008"
"","[-0.028,-0.002]","[-0.034,-0.008]","[-0.025,0.001]","[-0.034,-0.006]"
"castesc","-0.002","0.002","0.001","0.003"
"","0.006","0.004","0.005","0.004"
"","[-0.01,0.01]","[-0.007,0.006]","[-0.007,0.011]","[-0.006,0.008]"
"castest","-0.003","0.004","-0.001","0.005"
"","0.004","0.003","0.004","0.004"
"","[-0.008,0.005]","[-0.001,0.011]","[-0.006,0.007]","[-0.001,0.011]"
"castebc","0.013","-0.004","0.011","-0.005"
"","0.007","0.005","0.007","0.005"
"","[0.002,0.024]","[-0.012,0.005]","[0,0.021]","[-0.012,0.005]"
"cognition at 8","0.917","0.072","0.768","-0.001"
"","0.054","0.055","0.072","0.065"
"","[0.796,0.96]","[-0.012,0.155]","[0.648,0.881]","[-0.055,0.144]"
"health at 8","0.05","0.892","0.029","0.909"
"","0.035","0.04","0.033","0.039"
"","[0.013,0.11]","[0.851,0.98]","[-0.008,0.089]","[0.851,0.977]"
"parental cognition","0.068","-0.033","0.037","-0.046"
"","0.033","0.027","0.03","0.029"
"","[0.048,0.148]","[-0.077,0.009]","[0.015,0.107]","[-0.087,-0.001]"
"parental health","0.011","0.032","-0.018","0.026"
"","0.038","0.041","0.036","0.043"
"","[-0.052,0.068]","[-0.038,0.092]","[-0.068,0.045]","[-0.046,0.092]"
"investment","-0.046","0.036","0.184","0.111"
"","0.038","0.035","0.075","0.065"
"","[-0.086,0.045]","[-0.032,0.081]","[0.066,0.301]","[-0.032,0.173]"
"rho","0.177","-0.493","-0.105","-0.112"
"","0.207","0.291","0.134","0.237"
"","[-0.251,0.404]","[-0.69,0.227]","[-0.28,0.167]","[-0.606,0.113]"
"elasticity of subst","1.215","0.67","0.905","0.899"
"","0.313","1.354","0.138","0.157"
"","[0.8,1.678]","[0.583,1.27]","[0.781,1.2]","[0.623,1.128]"
