"","Cognitive Skills","Health","Cognitive Skills","Health"
"delta","-0.061","-0.358","-0.071","-0.374"
"","0.054","0.046","0.055","0.047"
"","[-0.127,0.042]","[-0.421,-0.277]","[-0.146,0.035]","[-0.446,-0.296]"
"control function","0","0","-0.851","-0.853"
"","0","0","0.27","0.225"
"","[0,0]","[0,0]","[-1.15,-0.284]","[-1.149,-0.491]"
"number of children","0.006","0.015","0.003","0.012"
"","0.01","0.009","0.01","0.009"
"","[-0.016,0.015]","[-0.002,0.032]","[-0.02,0.012]","[-0.003,0.03]"
"older siblings","-0.011","-0.025","-0.01","-0.024"
"","0.009","0.01","0.009","0.01"
"","[-0.026,0.006]","[-0.044,-0.009]","[-0.026,0.006]","[-0.044,-0.01]"
"gender","0.014","0","0.013","-0.001"
"","0.009","0.008","0.009","0.008"
"","[-0.002,0.023]","[-0.011,0.015]","[-0.003,0.023]","[-0.012,0.013]"
"income","0.005","0.015","0.028","0.036"
"","0.038","0.027","0.04","0.028"
"","[-0.032,0.084]","[-0.027,0.054]","[-0.018,0.106]","[-0.016,0.081]"
"urban","0.003","0","0.003","0"
"","0.005","0.004","0.005","0.004"
"","[-0.008,0.007]","[-0.011,0.004]","[-0.008,0.008]","[-0.011,0.003]"
"Hindu","-0.008","0.011","-0.009","0.01"
"","0.008","0.008","0.008","0.008"
"","[-0.023,0.004]","[-0.006,0.017]","[-0.024,0.004]","[-0.007,0.016]"
"Muslim","-0.003","-0.005","-0.002","-0.005"
"","0.002","0.002","0.002","0.002"
"","[-0.005,0.002]","[-0.006,0]","[-0.005,0.003]","[-0.006,0]"
"mother's age","0.009","0","0.01","0.001"
"","0.009","0.008","0.009","0.008"
"","[-0.001,0.026]","[-0.012,0.013]","[-0.001,0.027]","[-0.012,0.014]"
"castesc","-0.005","0.001","-0.006","0"
"","0.007","0.005","0.007","0.006"
"","[-0.016,0.004]","[-0.008,0.009]","[-0.017,0.003]","[-0.009,0.007]"
"castest","0.033","0.012","0.032","0.011"
"","0.007","0.005","0.007","0.005"
"","[0.018,0.042]","[0.005,0.021]","[0.017,0.042]","[0.004,0.02]"
"castebc","-0.01","-0.017","-0.012","-0.019"
"","0.008","0.007","0.008","0.007"
"","[-0.028,-0.003]","[-0.028,-0.005]","[-0.03,-0.004]","[-0.03,-0.007]"
"health at 1","0.06","0.48","0.054","0.474"
"","0.028","0.026","0.027","0.026"
"","[0.014,0.111]","[0.438,0.521]","[0.011,0.102]","[0.431,0.513]"
"parental cognition","0.361","0.033","0.329","0"
"","0.042","0.028","0.041","0.029"
"","[0.286,0.423]","[-0.022,0.072]","[0.268,0.39]","[-0.054,0.037]"
"parental health","0.097","0.277","0.069","0.249"
"","0.05","0.053","0.049","0.05"
"","[0.025,0.177]","[0.207,0.378]","[-0.01,0.136]","[0.184,0.345]"
"investment","0.482","0.209","0.548","0.277"
"","0.06","0.051","0.059","0.055"
"","[0.382,0.577]","[0.127,0.295]","[0.449,0.635]","[0.193,0.363]"
"rho","0.048","-0.013","-0.012","-0.002"
"","0.139","0.037","0.149","0.04"
"","[-0.259,0.168]","[-0.078,0.032]","[-0.319,0.122]","[-0.076,0.049]"
"elasticity of subst","1.05","0.987","0.988","0.998"
"","0.13","0.036","0.124","0.04"
"","[0.794,1.201]","[0.928,1.033]","[0.758,1.139]","[0.93,1.051]"
