"","V1"
"ftest5",66.424473316884
"ftest8",70.2651234328653
"ftest12",54.6842157709752
"ftest5_prices",18.6081840298998
"ftest8_prices",13.2724316490439
"ftest12_prices",17.4382361877604
"pvalue5",5.67434987885918e-13
"pvalue8",9.02611319020252e-14
"pvalues12",1.51595402897442e-10
"pvalue5_prices",0.00093819671298867
"pvalue8_prices",0.0100185825543182
"pvalues12_prices",0.00158840770074187
