"","Cognitive Skills","Health","Cognitive Skills","Health"
"delta","0.612","0.136","0.567","0.138"
"","0.041","0.035","0.041","0.036"
"","[0.528,0.667]","[0.072,0.19]","[0.486,0.615]","[0.074,0.19]"
"control function","0","0","-0.508","0.026"
"","0","0","0.085","0.069"
"","[0,0]","[0,0]","[-0.664,-0.384]","[-0.095,0.136]"
"number of children","-0.004","-0.005","-0.007","-0.004"
"","0.008","0.006","0.009","0.006"
"","[-0.014,0.011]","[-0.016,0.003]","[-0.02,0.008]","[-0.016,0.003]"
"older siblings","-0.007","0","-0.011","0.001"
"","0.009","0.006","0.009","0.006"
"","[-0.022,0.005]","[-0.01,0.01]","[-0.025,0.002]","[-0.01,0.01]"
"gender","0.032","0.006","0.03","0.006"
"","0.009","0.006","0.01","0.006"
"","[0.011,0.042]","[-0.003,0.015]","[0.01,0.041]","[-0.003,0.015]"
"urban","-0.016","0.008","-0.015","0.008"
"","0.005","0.003","0.005","0.003"
"","[-0.021,-0.006]","[0.001,0.011]","[-0.02,-0.004]","[0.001,0.011]"
"Hindu","-0.008","0.001","-0.011","0.001"
"","0.007","0.005","0.008","0.005"
"","[-0.017,0.006]","[-0.007,0.007]","[-0.02,0.004]","[-0.007,0.008]"
"Muslim","-0.001","0.001","0.001","0.001"
"","0.002","0.001","0.002","0.001"
"","[-0.005,0.002]","[0,0.004]","[-0.003,0.003]","[0,0.004]"
"mother's age","0.014","0.001","0.016","0.001"
"","0.008","0.006","0.008","0.006"
"","[0.001,0.026]","[-0.008,0.009]","[0.002,0.029]","[-0.008,0.009]"
"castesc","0.019","-0.004","0.015","-0.004"
"","0.007","0.004","0.007","0.004"
"","[0.01,0.033]","[-0.01,0.002]","[0.007,0.029]","[-0.009,0.002]"
"castest","-0.004","-0.016","-0.004","-0.016"
"","0.004","0.004","0.004","0.004"
"","[-0.01,0.004]","[-0.018,-0.007]","[-0.01,0.004]","[-0.018,-0.007]"
"castebc","-0.002","0.012","-0.005","0.012"
"","0.008","0.005","0.008","0.005"
"","[-0.013,0.011]","[0.004,0.02]","[-0.018,0.008]","[0.004,0.02]"
"cognition5","0.184","-0.005","0.149","-0.004"
"","0.038","0.017","0.035","0.018"
"","[0.134,0.259]","[-0.039,0.02]","[0.103,0.221]","[-0.04,0.022]"
"health5","0.168","0.904","0.146","0.904"
"","0.026","0.037","0.025","0.037"
"","[0.111,0.191]","[0.821,0.942]","[0.097,0.174]","[0.821,0.944]"
"parental cognition","0.17","0.043","0.114","0.046"
"","0.031","0.017","0.04","0.018"
"","[0.107,0.215]","[0.03,0.087]","[0.039,0.167]","[0.034,0.086]"
"parental health","-0.017","0.05","-0.071","0.052"
"","0.04","0.027","0.037","0.028"
"","[-0.051,0.079]","[0.005,0.106]","[-0.109,0.01]","[0.008,0.106]"
"investment","0.495","0.008","0.662","0.002"
"","0.059","0.028","0.06","0.032"
"","[0.4,0.571]","[-0.038,0.058]","[0.54,0.763]","[-0.046,0.057]"
"rho","0.042","0.398","0.044","0.392"
"","0.07","0.113","0.06","0.11"
"","[-0.112,0.108]","[0.095,0.474]","[-0.057,0.131]","[0.091,0.455]"
"elasticity of substitution","1.044","1.662","1.047","1.646"
"","0.07","0.238","0.065","0.227"
"","[0.899,1.121]","[1.105,1.903]","[0.946,1.15]","[1.1,1.834]"
