"period","intercept","parent_education_coefficient","theta_h","theta_p","ces_delta","mu","rho","control_function_coefficient","residual_sd"
1,-0.000521347999670511,-0.000496500352214148,0.99,0.177323097440409,0.99,-0.413383274111893,0.99,-0.00300146080949772,0.00152923923478294
2,1.2202830367919,-4.29985074409313e-05,0.99,0.140413913781961,0.522225712728773,-5,0.99,-0.000795761112550242,0.0066690050549009
3,0.944068917846771,-0.000302810046809169,0.99,0.313308784741173,0.950480902157214,0.0742303310230004,0.99,-0.00345740458698013,0.00488254092283116
