parameter,stage1_value,stage2_value
Delta,73.40549985658456,99.9950211026898
perceived_rho,0.3539185919361125,1.0
perceived_theta_h_1,0.46230159450911346,0.7015208218162431
perceived_theta_h_2,0.3353966001918569,0.7255662076896051
perceived_theta_h_3,0.7952629680309604,0.9328928817154098
