scenario_family,scenario,parameter_value,period,hc,parent_h,c_policy,l_policy,e_policy,perceived_hc_next_policy,true_expected_hc_next_policy,value_policy
parent_human_capital_complements,low h,0.8,1,0.5,0.8,0.5901707168675812,0.3852388187779012,0.31457318217259667,0.48962731059796394,0.4920815777056686,-18.933466490349538
parent_human_capital_complements,low h,0.8,1,0.5000203210855501,0.8,0.5901691304052938,0.3852404770139833,0.3145771564948421,0.4896368014181331,0.4920911160987719,-18.93340322402533
parent_human_capital_complements,low h,0.8,1,0.5000812892976928,0.8,0.5901643569366875,0.3852454440136166,0.31458908244292044,0.48966527641467805,0.492119733826831,-18.93321342091964
parent_human_capital_complements,low h,0.8,1,0.5001829195049198,0.8,0.5901563969109085,0.3852537345564334,0.3146089808503557,0.48971275092783206,0.49216744630697246,-18.93289706863443
parent_human_capital_complements,low h,0.8,1,0.5003252364947652,0.8,0.5901452491684285,0.3852653355320427,0.31463683399771303,0.48977921642403316,0.4922342449628597,-18.93245414650533
parent_human_capital_complements,low h,0.8,1,0.5005082749838822,0.8,0.590131974206019,0.3852791719594556,0.3146700334155971,0.48986298056544275,0.4923184289737754,-18.93188462557188
parent_human_capital_complements,low h,0.8,1,0.500732079632158,0.8,0.5901144777410381,0.3852974008716693,0.3147137795141658,0.48996743084460576,0.49242340281214153,-18.931188468722016
parent_human_capital_complements,low h,0.8,1,0.5009967050608752,0.8,0.5901076606658366,0.38530451076226124,0.31473083483181963,0.4900683489291415,0.49252482675068104,-18.930365675970233
parent_human_capital_complements,low h,0.8,1,0.5013022158749305,0.8,0.5900836882701316,0.38532947495155656,0.31479075566010994,0.49021099053958966,0.49266818335517704,-18.92941632571102
parent_human_capital_complements,low h,0.8,1,0.5016486866891229,0.8,0.5900566396250146,0.3853576482725388,0.31485837388744126,0.49037248810873113,0.4928304904342526,-18.928340208243693
parent_human_capital_complements,low h,0.8,1,0.502036202158526,0.8,0.5900264191394503,0.38538913909733297,0.31493394116070916,0.49055301550686525,0.49301192272973554,-18.92713725341928
parent_human_capital_complements,low h,0.8,1,0.502464857012963,0.8,0.5899930149601706,0.38542392351199195,0.3150174348970978,0.49075256937277023,0.49321247686355596,-18.925807382874726
parent_human_capital_complements,low h,0.8,1,0.5029347560956027,0.8,0.5899564201509264,0.3854620395725014,0.31510891683347564,0.4909712024305882,0.4934322058241368,-18.924350510033236
parent_human_capital_complements,low h,0.8,1,0.5034460144056994,0.8,0.5899534625906719,0.385465114748875,0.3151163026477081,0.4911489436049177,0.49361083792981014,-18.92276666778856
parent_human_capital_complements,low h,0.8,1,0.5039987571454999,0.8,0.5899948783272172,0.3854219701128536,0.3150127586352921,0.4912682238969785,0.493730716116823,-18.92105837526431
parent_human_capital_complements,low h,0.8,1,0.5045931197713469,0.8,0.589947685347387,0.38547115132771925,0.3151307725645288,0.4915458021707382,0.49400968575747006,-18.919223685599636
parent_human_capital_complements,low h,0.8,1,0.5052292480490046,0.8,0.5898994783578101,0.3855213715308836,0.3152512966466624,0.4918389452417579,0.49430429821424804,-18.917261828061815
parent_human_capital_complements,low h,0.8,1,0.5059072981132409,0.8,0.5898473775432631,0.3855756324876379,0.3153815332389355,0.4921523684813084,0.4946192924943247,-18.915172677970347
parent_human_capital_complements,low h,0.8,1,0.5066274365316988,0.8,0.5897917389767593,0.38563357578980584,0.3155206101605612,0.49248552322999234,0.49495411718813576,-18.912956108854587
parent_human_capital_complements,low h,0.8,1,0.507389840373095,0.8,0.589732938115145,0.3856948338948967,0.31566762269350623,0.49283784009150905,0.49530820004527,-18.910611966796527
parent_human_capital_complements,low h,0.8,1,0.5081946972797818,0.8,0.5897201077080194,0.3857081971085827,0.3156996961283397,0.4931290582284342,0.4956008779191811,-18.90814067613035
parent_human_capital_complements,low h,0.8,1,0.5090422055447187,0.8,0.589766516563052,0.3856598485472678,0.3155836653450137,0.4933373357023598,0.49581019938828924,-18.90554687810591
parent_human_capital_complements,low h,0.8,1,0.5099325741928927,0.8,0.5896979222648444,0.3857313119007344,0.3157551668722132,0.4937476155968459,0.49622253581930464,-18.90282651342175
parent_human_capital_complements,low h,0.8,1,0.5108660230672385,0.8,0.5896264802101916,0.3858057164752614,0.3159337515141849,0.49417658990818086,0.4966536603733233,-18.899978270908022
parent_human_capital_complements,low h,0.8,1,0.5118427829191048,0.8,0.5895518733966636,0.3858834499947499,0.31612029459577623,0.4946248579892936,0.49710417540754326,-18.89700196741386
parent_human_capital_complements,low h,0.8,1,0.5128630955033207,0.8,0.5894740864934349,0.38596446836384257,0.31631474795049835,0.49509241616607685,0.49757407722944064,-18.8938974118769
parent_human_capital_complements,low h,0.8,1,0.5139272136779165,0.8,0.5894813910838975,0.3859568623772245,0.31629649073930577,0.49543460292277236,0.49791797920439185,-18.89066792386585
parent_human_capital_complements,low h,0.8,1,0.5150354015085564,0.8,0.5893988946837776,0.3860427895085544,0.3165027222085408,0.4959381039823321,0.4984240040735154,-18.88731136143559
parent_human_capital_complements,low h,0.8,1,0.5161879343777439,0.8,0.5893359512950955,0.38610835023849016,0.3166600730483304,0.496423682787307,0.498912016852379,-18.88382741796723
parent_human_capital_complements,low h,0.8,1,0.5173850990988615,0.8,0.5892455685637157,0.38620250800599965,0.31688604296492384,0.4969685206399041,0.49945958571607735,-18.88021480273874
parent_human_capital_complements,low h,0.8,1,0.5186271940351138,0.8,0.5892469514286869,0.3862010665141675,0.31688258435171435,0.4973767003454607,0.4998698114309224,-18.876475470208415
parent_human_capital_complements,low h,0.8,1,0.5199145292234401,0.8,0.589150208222364,0.38630186095854196,0.31712447155793655,0.4979604332765047,0.5004564703354596,-18.87261069685237
parent_human_capital_complements,low h,0.8,1,0.5212474265034702,0.8,0.5890503655590971,0.3864058557943428,0.31737406678475655,0.4985635439841072,0.5010626041480645,-18.868616573232405
parent_human_capital_complements,low h,0.8,1,0.5226262196515982,0.8,0.5889638015253121,0.3864960158719719,0.3175904613303274,0.49915910553423554,0.5016611509628859,-18.864493101634018
parent_human_capital_complements,low h,0.8,1,0.5240512545202515,0.8,0.5889583410890397,0.3865017185941806,0.31760413368658047,0.49963523698048734,0.5021396690279438,-18.86024477214501
parent_human_capital_complements,low h,0.8,1,0.5255228891824385,0.8,0.5888644770235374,0.38659948465842786,0.31783878088459877,0.5002714362582756,0.5027790572678827,-18.855870097406587
parent_human_capital_complements,low h,0.8,1,0.5270414940816569,0.8,0.5887873211826438,0.38667983865273214,0.3180316464772905,0.5008944131025712,0.5034051567966054,-18.851367582567235
parent_human_capital_complements,low h,0.8,1,0.5286074521872524,0.8,0.5887069211667381,0.38676360875106475,0.31823267543479516,0.5015371676919009,0.5040511332067215,-18.846737561552608
parent_human_capital_complements,low h,0.8,1,0.5302211591553182,0.8,0.5887711025430674,0.3866967404846102,0.3180722037547713,0.5019547970566502,0.5044708559473732,-18.841989568397786
parent_human_capital_complements,low h,0.8,1,0.5318830234952302,0.8,0.5887255690120176,0.3867441736034378,0.3181860409769329,0.5025682977131309,0.5050874317886916,-18.83711759943453
parent_human_capital_complements,low h,0.8,1,0.5335934667419154,0.8,0.5887374192443886,0.3867318483464028,0.3181564423744314,0.503100781359509,0.5056225845204545,-18.832122526895674
parent_human_capital_complements,low h,0.8,1,0.5353529236339561,0.8,0.5886891483405148,0.386782118684296,0.3182771025648715,0.5037473621184289,0.5062724062789158,-18.827007396944396
parent_human_capital_complements,low h,0.8,1,0.537161842297634,0.8,0.5887560359475681,0.3867124475222248,0.3181098884844356,0.50421636934135,0.5067437644103249,-18.821776615141555
parent_human_capital_complements,low h,0.8,1,0.5390206844370244,0.8,0.5886577857806399,0.3868147814210544,0.3183554994656786,0.5049748870210031,0.5075060841756696,-18.81642305350494
parent_human_capital_complements,low h,0.8,1,0.5409299255302531,0.8,0.5885886290486514,0.3868868236594839,0.31852839702100544,0.5056994026757616,0.5082342314802605,-18.81094390360034
parent_human_capital_complements,low h,0.8,1,0.5428900550320312,0.8,0.5885716220041968,0.38690453526261337,0.31857090877396654,0.506351144534559,0.5088892402087201,-18.805342576448552
parent_human_capital_complements,low h,0.8,1,0.5449015765825912,0.8,0.5884737455767243,0.3870064955795805,0.3188156080578717,0.5071527411454736,0.5096948548393677,-18.799618439448196
parent_human_capital_complements,low h,0.8,1,0.5469650082231464,0.8,0.5883849884618233,0.38709895101565056,0.3190375010007136,0.5079537160520792,0.5104998446494006,-18.79376838178521
parent_human_capital_complements,low h,0.8,1,0.5490808826180046,0.8,0.5884233443656195,0.3870590013692774,0.31894161760614004,0.5085557233805218,0.5111048695521345,-18.78779719489396
