"","Human Capital without Control Function","Human Capital with Control Function"
"delta","0","0"
"","0.006","0.006"
"","[-0.078,-0.071]","[-0.078,-0.071]"
"control function","0","0"
"","0","0.003"
"","[0,0]","[-0.004,0]"
"peducation","0","0"
"","0","0"
"","[0,0]","[0,0]"
"human capital 1","1","1"
"","0.024","0.028"
"","[0.957,0.988]","[0.952,0.988]"
"government investment 1","0","0"
"","0","0"
"","[0,0]","[0,0]"
"parental investment 1","0","0"
"","0.024","0.028"
"","[0.012,0.043]","[0.012,0.048]"
"rho","0.243","-0.002"
"","1.201","1.334"
"","[3.386,4.915]","[3.208,4.906]"
"elasticity of substitution","1.321","0.998"
"","0.13","0.158"
"","[-0.425,-0.259]","[-0.462,-0.261]"
