"","coefficients","std_errors","t_values","p_values","r_squared","adj_r_squared","f_statistic","f_pvalue"
"(Intercept)",-0.390148936122931,0.260361251415388,-1.49849078540675,0.134037362501188,0.000225610108001305,-7.44422299014946e-05,0.751902516668342,0.521086705180916
"log(hc3)",0.679487483063641,0.54643508992119,1.24349167100824,0.213715870552693,0.000225610108001305,-7.44422299014946e-05,0.751902516668342,0.521086705180916
"log(peducation)",0.00119837393649444,0.00239837643406177,0.499660486767266,0.617325157094089,0.000225610108001305,-7.44422299014946e-05,0.751902516668342,0.521086705180916
"log(income3)",-0.00219929273831562,0.00292524568356165,-0.75183180362405,0.452169914974646,0.000225610108001305,-7.44422299014946e-05,0.751902516668342,0.521086705180916
