"","Period 2"
"Intercept","-0.154"
"","0.041"
"","[0.055,0.107]"
"Human Capital 2","0.547"
"","1.102"
"","[0.749,2.151]"
"Highest Grade Completed Mother","0"
"","0.134"
"","[-0.192,-0.022]"
"Income 2","0"
"","0.031"
"","[-0.043,-0.003]"
