"","Human Capital without Control Function","Human Capital with Control Function"
"delta","0.413","0.956"
"","0.071","0.071"
"","[0.357,0.447]","[0.357,0.447]"
"control function","0","-0.999"
"","0","0.721"
"","[0,0]","[-1.144,-0.226]"
"peducation","0","0"
"","0.006","0.006"
"","[-0.009,-0.002]","[-0.01,-0.002]"
"human capital 3","1","0"
"","0","0"
"","[1,1]","[1,1]"
"government investment 3","0","0"
"","0.002","0.002"
"","[0,0.003]","[0,0.003]"
"parental investment 3","0","1"
"","0.002","0.002"
"","[-0.003,0]","[-0.003,0]"
"rho","0.001","-0.021"
"","0.243","0.409"
"","[0.945,1.254]","[0.867,1.386]"
"elasticity of substitution","1.001","0.979"
"","12.458","6.057"
"","[-2.805,13.051]","[-1.979,5.73]"
