scenario_family,scenario,parameter_value,period,hc,parent_h,c_policy,l_policy,e_policy,perceived_hc_next_policy,true_expected_hc_next_policy,value_policy
public_input_complements,low g,0.6,1,0.5,1.2,0.8204560723766878,0.3240210628434243,0.2294294233651086,0.49445249508745476,0.4969309485330636,-17.9402201356478
public_input_complements,low g,0.6,1,0.5000203210855501,1.2,0.8204531656717886,0.32402140647196814,0.22943307230766255,0.4944606070923927,0.49693910119959545,-17.940160574461927
public_input_complements,low g,0.6,1,0.5000812892976928,1.2,0.8204444497990142,0.3240224215463198,0.2294439807410366,0.49448493305891456,0.4969635491005319,-17.939981888508534
public_input_complements,low g,0.6,1,0.5001829195049198,1.2,0.8204298495954682,0.3240240868534212,0.22946217800792168,0.4945254854613051,0.49700430477268537,-17.939684070599363
public_input_complements,low g,0.6,1,0.5003252364947652,1.2,0.8204094992617743,0.3240264606306684,0.22948765570046947,0.4945822570964725,0.49706136097685827,-17.9392671087567
public_input_complements,low g,0.6,1,0.5005082749838822,1.2,0.8203833297223115,0.324029514593984,0.22952042180069393,0.49465525580069686,0.4971347255886102,-17.938730986216033
public_input_complements,low g,0.6,1,0.500732079632158,1.2,0.8203512823932562,0.3240332056796583,0.2295604418748058,0.4947444783182463,0.49722439533589,-17.93807568143103
public_input_complements,low g,0.6,1,0.5009967050608752,1.2,0.8203133801704934,0.32403757258127086,0.22960777660505172,0.4948499432239391,0.4973303888866225,-17.937301168077937
public_input_complements,low g,0.6,1,0.5013022158749305,1.2,0.8202697327833629,0.32404262944086015,0.2296623468088951,0.49497162840437114,0.4974526840165598,-17.93640741506494
public_input_complements,low g,0.6,1,0.5016486866891229,1.2,0.8202204436737437,0.3240481699236782,0.22972360336140119,0.49510938818330863,0.4975911343192628,-17.93539438654658
public_input_complements,low g,0.6,1,0.502036202158526,1.2,0.8203589244875931,0.3240322690241131,0.22955077660449136,0.4951898240980999,0.4976719734207548,-17.934262823140376
public_input_complements,low g,0.6,1,0.502464857012963,1.2,0.8202979668183636,0.32403922644722266,0.2296267623076374,0.49536011750416586,0.4978431204260709,-17.933013028675493
public_input_complements,low g,0.6,1,0.5029347560956027,1.2,0.8202310436688258,0.324046929364816,0.2297103237591769,0.49554675494280187,0.49803069338876127,-17.93164400503364
public_input_complements,low g,0.6,1,0.5034460144056994,1.2,0.8201582828130624,0.3240553397209074,0.2298012509840978,0.49574968196440655,0.4982346375862946,-17.930155697510937
public_input_complements,low g,0.6,1,0.5039987571454999,1.2,0.820080403401051,0.32406437138807764,0.22989863879719674,0.4959686309111504,0.4984546840192011,-17.928548049595495
public_input_complements,low g,0.6,1,0.5045931197713469,1.2,0.8200374646859205,0.3240693629392516,0.229952359262863,0.4961883164415339,0.49867547072788815,-17.926821513629047
public_input_complements,low g,0.6,1,0.5052292480490046,1.2,0.819947311890902,0.324079801774805,0.23006505994267684,0.4964400684920088,0.49892848469076745,-17.92497559115423
public_input_complements,low g,0.6,1,0.5059072981132409,1.2,0.819851313480238,0.32409091102451837,0.2301850543327216,0.49670812789090363,0.4991978877429909,-17.9230101588141
public_input_complements,low g,0.6,1,0.5066274365316988,1.2,0.8197494891984696,0.3241026900507984,0.23031232131125506,0.4969924988440009,0.49948368411142235,-17.92092513863437
public_input_complements,low g,0.6,1,0.507389840373095,1.2,0.8197986399668775,0.32409973031756906,0.23025677751907184,0.4972348729676514,0.4997272731404234,-17.918720711875867
public_input_complements,low g,0.6,1,0.5081946972797818,1.2,0.8196889853636968,0.3241096545449274,0.2303878684533462,0.4975488439739578,0.5000428179329481,-17.91639919759787
public_input_complements,low g,0.6,1,0.5090422055447187,1.2,0.819569838364627,0.3241234512471133,0.23053681632913775,0.4978821582162839,0.5003778029198667,-17.913957985883744
public_input_complements,low g,0.6,1,0.5099325741928927,1.2,0.8194448172120097,0.32413792479688497,0.23069310034926177,0.49823185194335334,0.5007292494940374,-17.911396980092313
public_input_complements,low g,0.6,1,0.5108660230672385,1.2,0.8193139815903286,0.3241530616897973,0.23085663165963355,0.49859791251390495,0.5010971449508348,-17.908716079622018
public_input_complements,low g,0.6,1,0.5118427829191048,1.2,0.819177394315896,0.32416887980042586,0.23102738605302386,0.4989803449279504,0.501481494315333,-17.905915179402836
public_input_complements,low g,0.6,1,0.5128630955033207,1.2,0.8190728356919519,0.3241741490341348,0.2311433262217793,0.4993607555720203,0.5018638117756914,-17.90299473466918
public_input_complements,low g,0.6,1,0.5139272136779165,1.2,0.8191235575729093,0.3241750900598104,0.23109463695628107,0.49970367999035,0.5022084551098212,-17.8999587627789
public_input_complements,low g,0.6,1,0.5150354015085564,1.2,0.8189848907813472,0.32419111347353924,0.2312679143214976,0.5001294189276518,0.5026363280724269,-17.896803141912127
public_input_complements,low g,0.6,1,0.5161879343777439,1.2,0.8188823658736513,0.32420300524207446,0.23139612544922955,0.5005555314492025,0.5030645764918803,-17.893528252520312
public_input_complements,low g,0.6,1,0.5173850990988615,1.2,0.8187772395257341,0.32421635431372176,0.23153008579190507,0.5009975208423666,0.5035087813660971,-17.89013435047347
public_input_complements,low g,0.6,1,0.5186271940351138,1.2,0.8186501399302062,0.32422991409024743,0.23168647450472823,0.5014608346987902,0.5039744175928905,-17.886621658480287
public_input_complements,low g,0.6,1,0.5199145292234401,1.2,0.8187739039665575,0.32421554724335944,0.2315316780790989,0.5018425187945683,0.5043580148881605,-17.88299496900228
public_input_complements,low g,0.6,1,0.5212474265034702,1.2,0.8186767352871864,0.3242268002202946,0.23165315318864993,0.5023234162322062,0.5048413228342359,-17.879252072660773
public_input_complements,low g,0.6,1,0.5226262196515982,1.2,0.8187133636325402,0.32422271704058864,0.23160770517513116,0.5027670497482735,0.5052871800725562,-17.87539449038382
public_input_complements,low g,0.6,1,0.5240512545202515,1.2,0.8186148413236829,0.324233953174596,0.2317304975334445,0.5032768489208505,0.5057995346241199,-17.871420920362866
public_input_complements,low g,0.6,1,0.5255228891824385,1.2,0.8186312033317865,0.3242445488477621,0.23173702217937964,0.5037638611563845,0.5062889880186433,-17.867329539729774
public_input_complements,low g,0.6,1,0.5270414940816569,1.2,0.8185681638035387,0.3242393492925989,0.23178883066847505,0.5042813011472862,0.5068090216882929,-17.863126593057338
public_input_complements,low g,0.6,1,0.5286074521872524,1.2,0.8184696235455224,0.3242507934305956,0.2319120902645639,0.5048340557404443,0.5073645469753792,-17.858806275503657
public_input_complements,low g,0.6,1,0.5302211591553182,1.2,0.818375807918026,0.3242622931050993,0.23203074518898856,0.5053996500181741,0.5079329763062242,-17.8543687945773
public_input_complements,low g,0.6,1,0.5318830234952302,1.2,0.8182346010646429,0.32427876851949694,0.23220753893747045,0.5059976842826631,0.5085340082299387,-17.849814534686026
public_input_complements,low g,0.6,1,0.5335934667419154,1.2,0.8182131028197854,0.32428043819672864,0.23223264368514834,0.5065630100642126,0.5091021677187605,-17.845148675029076
public_input_complements,low g,0.6,1,0.5353529236339561,1.2,0.818184847410834,0.3242837116051832,0.23226796965636162,0.5071457328649488,0.5096878114296906,-17.840369753074153
public_input_complements,low g,0.6,1,0.537161842297634,1.2,0.818116655084298,0.32429159861281875,0.2323531979193907,0.5077583314222387,0.5103034806500273,-17.835475399996767
public_input_complements,low g,0.6,1,0.5390206844370244,1.2,0.8180347262117356,0.32426726884499324,0.23238257449345007,0.5083708455504719,0.5109190650181049,-17.830464890594566
public_input_complements,low g,0.6,1,0.5409299255302531,1.2,0.8180194771370216,0.3243036085253873,0.23247631727781518,0.5090117530598351,0.5115631850897279,-17.82534735589579
public_input_complements,low g,0.6,1,0.5428900550320312,1.2,0.8180591504220137,0.32429824236070315,0.23242505307710515,0.5096247524855582,0.5121792571878592,-17.820120554329513
public_input_complements,low g,0.6,1,0.5449015765825912,1.2,0.8179438252197738,0.3243116039051479,0.23256923921534564,0.5103133072561286,0.5128712633535799,-17.814778146293786
public_input_complements,low g,0.6,1,0.5469650082231464,1.2,0.8179904252377513,0.3243068721619335,0.23251241863202501,0.5109530780566687,0.513514241018603,-17.809321703452138
public_input_complements,low g,0.6,1,0.5490808826180046,1.2,0.8177176316038882,0.3243384642878332,0.23285345125783163,0.5117324740931135,0.5142975437939382,-17.803754606935637
public_input_complements,low g,0.6,1,0.5512497472834679,1.2,0.8175968689542488,0.32435245318272843,0.2330044299204446,0.5124666262637408,0.5150353759176347,-17.79807266748393
public_input_complements,low g,0.6,1,0.5534721648236569,1.2,0.8174977541314294,0.3243302663058615,0.23305562108923134,0.5131868367829839,0.5157591965071288,-17.792274494030526
public_input_complements,low g,0.6,1,0.5557487131734017,1.2,0.8175156211725493,0.3243822231639142,0.23314998086150526,0.513927245830636,0.5165033168705766,-17.786368910329667
public_input_complements,low g,0.6,1,0.5580799858483445,1.2,0.817247894670595,0.3243929103662775,0.23344079172056453,0.5147510572606945,0.5173312576726126,-17.7803501591255
public_input_complements,low g,0.6,1,0.5604665922024078,1.2,0.8172353713920661,0.3243944030244863,0.23345653914082426,0.5155005257094062,0.5180844828475568,-17.774218601919234
public_input_complements,low g,0.6,1,0.5629091576927818,1.2,0.8173249591528606,0.3243237864666091,0.23321441961501505,0.5161879228040358,0.5187753255344619,-17.767983755094
public_input_complements,low g,0.6,1,0.5654083241525933,1.2,0.8173328026922606,0.32438316855972016,0.23333484139673505,0.5169940104326739,0.5195854536941531,-17.76165128379518
public_input_complements,low g,0.6,1,0.5679647500714233,1.2,0.8171984263140062,0.3243987514139298,0.23350287674008235,0.5178353516027785,0.5204310121044228,-17.755203838217533
public_input_complements,low g,0.6,1,0.5705791108838415,1.2,0.8172165685739254,0.3243968323382405,0.23348058927667426,0.5186304877858707,0.5212301339242188,-17.748645679790577
public_input_complements,low g,0.6,1,0.5732520992661372,1.2,0.8169220801711032,0.32443077972921847,0.23384840404400875,0.519565057757956,0.5221693884477836,-17.741980720544984
public_input_complements,low g,0.6,1,0.5759844254414287,1.2,0.8167886234588881,0.32444528053141974,0.23401318248897834,0.5204494809558649,0.5230582448354205,-17.735201424603158
public_input_complements,low g,0.6,1,0.578776817493336,1.2,0.816804030541511,0.3244436768001969,0.23399431134691456,0.5212895008911579,0.5239024753881615,-17.728312213881622
public_input_complements,low g,0.6,1,0.5816300216884137,1.2,0.8165040431437451,0.32447820307613756,0.23436887550071203,0.5222707160401489,0.5248886088985544,-17.72131537319367
public_input_complements,low g,0.6,1,0.5845448028075416,1.2,0.8165098684105272,0.3244775158190499,0.2343615657586205,0.523143769708714,0.5257660387668447,-17.714211232343285
public_input_complements,low g,0.6,1,0.5875219444864789,1.2,0.8164895290926293,0.32448085620516104,0.23438912031051862,0.5240425328914089,0.5266693070187405,-17.707006454918428
public_input_complements,low g,0.6,1,0.5905622495657936,1.2,0.8164156032765338,0.32448845512075974,0.2344794597843073,0.5249764140216524,0.5276078692476295,-17.699703409789564
public_input_complements,low g,0.6,1,0.5936665404503856,1.2,0.8163747838552379,0.3244931656509161,0.234530453950741,0.5259121352579162,0.5285482808061086,-17.692288548487582
public_input_complements,low g,0.6,1,0.5968356594788269,1.2,0.8162319979043693,0.32450969660182083,0.2347089467555638,0.5269039982312942,0.5295451155133303,-17.684773868305346
public_input_complements,low g,0.6,1,0.600070469302753,1.2,0.816062779584557,0.3245292700748914,0.2349204437772085,0.5279214698531515,0.5305676872329161,-17.677152790437777
public_input_complements,low g,0.6,1,0.6033718532765401,1.2,0.8159182598897721,0.32454138732793714,0.23509113673857213,0.5289409609367519,0.531592288536839,-17.669417982390964
public_input_complements,low g,0.6,1,0.6067407158575169,1.2,0.8157520070716582,0.3245652307716449,0.23530889139509492,0.529989862287846,0.5326464475278349,-17.66158431010485
public_input_complements,low g,0.6,1,0.6101779830169621,1.2,0.8157665897081616,0.32456350118777594,0.23529057285743432,0.5309767511735529,0.5336382832146674,-17.653649554163568
