year,FIPS,school-level_code,student_population,total_expenditures,TCURELSC,TNONELSE,TCAPOUT,L12,M12,Q11,I86,V91,V92,total_expenditures_per_student,TCURELSC_per_student,TNONELSE_per_student,TCAPOUT_per_student,L12_per_student,M12_per_student,Q11_per_student,I86_per_student,V91_per_student,V92_per_student
2005,20137,1,65.0,936000.0,744000.0,,36000.0,,,156000.0,,,,14400.0,11446.153846153846,,553.8461538461538,,,2400.0,,,
2005,21037,1,175.0,1389000.0,1361000.0,,11000.0,,,,17000.0,,,7937.142857142857,7777.142857142857,,62.857142857142854,,,,97.14285714285714,,
2005,21093,1,160.0,1515000.0,1447000.0,32000.0,21000.0,,,,15000.0,,,9468.75,9043.75,200.0,131.25,,,,93.75,,
2005,21111,1,445.0,5815000.0,5073000.0,,361000.0,,,195000.0,186000.0,,,13067.41573033708,11400.0,,811.2359550561798,,,438.2022471910112,417.97752808988764,,
2005,21125,1,542.0,3647000.0,3493000.0,56000.0,51000.0,,,,47000.0,,,6728.782287822878,6444.649446494465,103.3210332103321,94.09594095940959,,,,86.71586715867159,,
2005,21199,1,507.0,2845000.0,2687000.0,38000.0,44000.0,,,,76000.0,,,5611.439842209073,5299.802761341223,74.95069033530572,86.78500986193293,,,,149.90138067061145,,
2005,23001,1,1697.0,23727000.0,16695000.0,316000.0,2454000.0,,,3825000.0,437000.0,427000.0,,13981.732469063052,9837.94932233353,186.21096051856216,1446.081319976429,,,2253.9776075427226,257.5132586918091,251.6205067766647,
2005,23001,2,578.0,6408000.0,6176000.0,78000.0,153000.0,,,,1000.0,36000.0,,11086.505190311418,10685.121107266436,134.94809688581316,264.70588235294116,,,,1.7301038062283738,62.28373702422145,
2005,23003,1,315.0,4699000.0,3637000.0,,143000.0,,,896000.0,23000.0,30000.0,,14917.460317460318,11546.031746031746,,453.968253968254,,,2844.4444444444443,73.01587301587301,95.23809523809524,
2005,23005,1,739.0,11195000.0,8399000.0,1000.0,147000.0,,,2353000.0,295000.0,295000.0,,15148.849797023004,11365.358592692828,1.3531799729364005,198.91745602165088,,,3184.0324763193503,399.18809201623816,399.18809201623816,
