,Year,student_pop,real_TCURELSC_per_student
count,102234.0,89822.0,102229.0
mean,2006.0,14969.207777604595,13491.875927856003
std,9.521951140899757,48717.79209390818,4237.198811938486
min,1990.0,2.0,1867.5190856871777
25%,1998.0,1855.0,10972.698439019521
50%,2006.0,4206.5,12817.18465831072
75%,2014.0,10468.75,15082.483434359123
max,2022.0,1741477.0,175213.1969758715
