"","coefficients","std_errors","t_values","p_values","r_squared","adj_r_squared","f_statistic","f_pvalue"
"(Intercept)",0.000566335218410394,0.00458354622506506,0.12355830848032,0.90166748841002,0.000129253765343063,-7.07803941517593e-05,0.646158464481843,0.524076976634825
"log(peducation)",-0.00406493897994215,0.00362129613655503,-1.12250940731104,0.261672868189278,0.000129253765343063,-7.07803941517593e-05,0.646158464481843,0.524076976634825
"log(income1)",-0.000343871401521986,0.00548757744328009,-0.0626636079538302,0.950035629825601,0.000129253765343063,-7.07803941517593e-05,0.646158464481843,0.524076976634825
