"period","intercept","parent_education_coefficient","theta_h","theta_p","ces_delta","mu","rho","control_function_coefficient","residual_sd"
1,4.9150737682555e-05,-2.68379208385801e-05,0.99,0.985284412183934,0.0933531348459874,0.00166675679177332,0.99,-0.000956666909262357,0.000687319722565861
2,1.16015818283927,3.44927991103281e-05,0.99,0.99,0.99,0.99,0.99,-0.302607452073845,0.0299435542118588
3,2.08794742341472,-0.000229677942358535,0.0619620684330763,0.99,0.99,-0.0195051735363034,0.99,-0.802338897706708,0.0296723906053984
