"","Cognitive Skills","Health","Cognitive Skills","Health"
"delta","0.612","0.136","0.536","0.149"
"","0.041","0.035","0.047","0.038"
"","[0.528,0.667]","[0.072,0.19]","[0.456,0.596]","[0.081,0.199]"
"control function","0","0","-0.586","0.115"
"","0","0","0.097","0.072"
"","[0,0]","[0,0]","[-0.737,-0.424]","[-0.021,0.221]"
"number of children","-0.004","-0.005","-0.01","-0.004"
"","0.008","0.006","0.009","0.006"
"","[-0.014,0.011]","[-0.016,0.003]","[-0.024,0.005]","[-0.014,0.004]"
"older siblings","-0.007","0","-0.012","0.001"
"","0.009","0.006","0.01","0.006"
"","[-0.022,0.005]","[-0.01,0.01]","[-0.026,0.001]","[-0.009,0.01]"
"gender","0.032","0.006","0.029","0.007"
"","0.009","0.006","0.01","0.006"
"","[0.011,0.042]","[-0.003,0.015]","[0.009,0.041]","[-0.002,0.015]"
"urban","-0.016","0.008","-0.013","0.007"
"","0.005","0.003","0.005","0.003"
"","[-0.021,-0.006]","[0.001,0.011]","[-0.019,-0.003]","[0.001,0.011]"
"Hindu","-0.008","0.001","-0.013","0.002"
"","0.007","0.005","0.008","0.005"
"","[-0.017,0.006]","[-0.007,0.007]","[-0.022,0.004]","[-0.007,0.008]"
"Muslim","-0.001","0.001","0.001","0.001"
"","0.002","0.001","0.002","0.001"
"","[-0.005,0.002]","[0,0.004]","[-0.002,0.004]","[-0.001,0.004]"
"mother's age","0.014","0.001","0.017","0.001"
"","0.008","0.006","0.008","0.006"
"","[0.001,0.026]","[-0.008,0.009]","[0.004,0.031]","[-0.008,0.009]"
"castesc","0.019","-0.004","0.012","-0.003"
"","0.007","0.004","0.007","0.004"
"","[0.01,0.033]","[-0.01,0.002]","[0.005,0.026]","[-0.008,0.003]"
"castest","-0.004","-0.016","-0.007","-0.015"
"","0.004","0.004","0.004","0.004"
"","[-0.01,0.004]","[-0.018,-0.007]","[-0.011,0.002]","[-0.018,-0.007]"
"castebc","-0.002","0.012","-0.007","0.013"
"","0.008","0.005","0.008","0.005"
"","[-0.013,0.011]","[0.004,0.02]","[-0.021,0.006]","[0.004,0.02]"
"cognition5","0.184","-0.005","0.126","0.004"
"","0.038","0.017","0.036","0.019"
"","[0.134,0.259]","[-0.039,0.02]","[0.076,0.195]","[-0.036,0.032]"
"health5","0.168","0.904","0.132","0.901"
"","0.026","0.037","0.027","0.037"
"","[0.111,0.191]","[0.821,0.942]","[0.085,0.165]","[0.823,0.947]"
"parental cognition","0.17","0.043","0.075","0.061"
"","0.031","0.017","0.053","0.02"
"","[0.107,0.215]","[0.03,0.087]","[-0.021,0.143]","[0.042,0.104]"
"parental health","-0.017","0.05","-0.108","0.066"
"","0.04","0.027","0.037","0.03"
"","[-0.051,0.079]","[0.005,0.106]","[-0.139,-0.026]","[0.018,0.118]"
"investment","0.495","0.008","0.775","-0.031"
"","0.059","0.028","0.085","0.042"
"","[0.4,0.571]","[-0.038,0.058]","[0.596,0.878]","[-0.089,0.034]"
"rho","0.042","0.398","0.047","0.315"
"","0.07","0.113","0.068","0.102"
"","[-0.112,0.108]","[0.095,0.474]","[-0.047,0.163]","[0.054,0.377]"
"elasticity of substitution","1.044","1.662","1.05","1.459"
"","0.07","0.238","0.079","0.179"
"","[0.899,1.121]","[1.105,1.903]","[0.955,1.194]","[1.057,1.605]"
