"","Age 8"
"Intercept","0.366"
"","0.021"
"","[0.336,0.399]"
"Cognition 5","0.045"
"","0.022"
"","[0.005,0.08]"
"Health 5","-0.001"
"","0.019"
"","[-0.03,0.033]"
"Parental Cognition","0.205"
"","0.041"
"","[0.145,0.268]"
"Parental Health","0.095"
"","0.036"
"","[0.03,0.148]"
"Price Clothing age 8","-0.04"
"","0.017"
"","[-0.078,-0.018]"
"Price Notebook age 8","-0.023"
"","0.022"
"","[-0.07,0.002]"
"Price Mebendaziol age 8","-0.071"
"","0.018"
"","[-0.104,-0.049]"
"Price Food age 8","0.017"
"","0.023"
"","[-0.01,0.061]"
"Order of Birth","0.019"
"","0.032"
"","[-0.034,0.068]"
"Number of Children","-0.01"
"","0.028"
"","[-0.056,0.041]"
"Male","0.004"
"","0.018"
"","[-0.029,0.028]"
"urban","0.063"
"","0.031"
"","[0.024,0.125]"
"Hindu","0.015"
"","0.024"
"","[-0.02,0.061]"
"Muslim","-0.022"
"","0.026"
"","[-0.059,0.026]"
"mother's age","-0.002"
"","0.02"
"","[-0.03,0.034]"
"castesc","-0.01"
"","0.033"
"","[-0.054,0.049]"
"castest","-0.025"
"","0.024"
"","[-0.053,0.008]"
"castebc","0.004"
"","0.03"
"","[-0.034,0.056]"
