"","Age 12"
"Intercept","0.454"
"","0.105"
"","[0.328,0.707]"
"Cognition 8","0.524"
"","0.13"
"","[0.221,0.651]"
"Health 8","0.064"
"","0.05"
"","[0.011,0.165]"
"Parental Cognition","0.117"
"","0.05"
"","[0.058,0.219]"
"Parental Health","0.032"
"","0.064"
"","[-0.111,0.09]"
"Price Clothing age 12","0.084"
"","0.038"
"","[0.028,0.153]"
"Price Notebook age 12","-0.111"
"","0.039"
"","[-0.17,-0.041]"
"Price Mebendaziol age 12","0.018"
"","0.025"
"","[-0.024,0.05]"
"Price Food age 12","-0.043"
"","0.027"
"","[-0.1,-0.006]"
"Order of Birth","-0.081"
"","0.055"
"","[-0.172,-0.003]"
"Number of Children","0.043"
"","0.057"
"","[-0.025,0.148]"
"Male","0.063"
"","0.035"
"","[-0.003,0.109]"
"urban","0.135"
"","0.046"
"","[0.059,0.219]"
"Hindu","0.096"
"","0.044"
"","[0.011,0.15]"
"Muslim","0.037"
"","0.051"
"","[-0.063,0.108]"
"mother's age","-0.003"
"","0.035"
"","[-0.041,0.074]"
"castesc","-0.109"
"","0.049"
"","[-0.193,-0.035]"
"castest","-0.119"
"","0.047"
"","[-0.205,-0.054]"
"castebc","-0.074"
"","0.057"
"","[-0.174,0.004]"
