"","Cognitive Skills","Health","Cognitive Skills","Health"
"delta","1.15","-0.059","1.152","-0.057"
"","0.051","0.04","0.06","0.048"
"","[1.077,1.223]","[-0.124,-0.002]","[1.055,1.242]","[-0.14,0.006]"
"control function","0","0","0.007","0.007"
"","0","0","0.126","0.087"
"","[0,0]","[0,0]","[-0.258,0.159]","[-0.144,0.127]"
"number of children","-0.015","-0.001","-0.015","-0.001"
"","0.01","0.007","0.01","0.007"
"","[-0.036,-0.002]","[-0.015,0.006]","[-0.037,-0.004]","[-0.016,0.007]"
"older siblings","0.004","0.012","0.004","0.012"
"","0.011","0.007","0.01","0.006"
"","[-0.011,0.023]","[0.004,0.025]","[-0.007,0.022]","[0.004,0.025]"
"gender","-0.019","0.013","-0.019","0.013"
"","0.008","0.007","0.007","0.007"
"","[-0.025,-0.002]","[0.004,0.025]","[-0.025,-0.003]","[0.003,0.025]"
"urban","-0.007","-0.002","-0.007","-0.002"
"","0.004","0.003","0.005","0.003"
"","[-0.014,-0.001]","[-0.007,0.004]","[-0.015,0]","[-0.007,0.004]"
"Hindu","0.017","-0.004","0.017","-0.004"
"","0.01","0.006","0.011","0.006"
"","[0.003,0.034]","[-0.009,0.008]","[0.002,0.036]","[-0.01,0.007]"
"Muslim","-0.007","-0.002","-0.007","-0.002"
"","0.004","0.002","0.004","0.002"
"","[-0.012,-0.002]","[-0.004,0.001]","[-0.012,-0.002]","[-0.004,0.001]"
"mother's age","-0.015","-0.019","-0.015","-0.019"
"","0.008","0.008","0.008","0.008"
"","[-0.028,-0.001]","[-0.034,-0.007]","[-0.027,-0.001]","[-0.034,-0.007]"
"castesc","-0.002","0.002","-0.003","0.002"
"","0.006","0.004","0.006","0.005"
"","[-0.01,0.01]","[-0.007,0.006]","[-0.01,0.01]","[-0.007,0.007]"
"castest","-0.004","0.004","-0.004","0.004"
"","0.004","0.003","0.004","0.003"
"","[-0.009,0.005]","[-0.001,0.01]","[-0.009,0.004]","[0,0.01]"
"castebc","0.013","-0.005","0.013","-0.005"
"","0.007","0.005","0.007","0.005"
"","[0.001,0.024]","[-0.012,0.005]","[0.002,0.025]","[-0.012,0.005]"
"cognition at 8","0.892","0.062","0.896","0.068"
"","0.053","0.048","0.075","0.069"
"","[0.793,0.935]","[-0.012,0.14]","[0.721,0.97]","[-0.056,0.151]"
"health at 8","0.051","0.895","0.052","0.895"
"","0.035","0.039","0.038","0.04"
"","[0.013,0.107]","[0.857,0.978]","[0.002,0.124]","[0.859,0.976]"
"parental cognition","0.086","-0.028","0.087","-0.026"
"","0.033","0.023","0.045","0.026"
"","[0.055,0.149]","[-0.071,0.01]","[0.027,0.17]","[-0.077,0.01]"
"parental health","0.01","0.032","0.011","0.032"
"","0.039","0.041","0.036","0.042"
"","[-0.055,0.069]","[-0.039,0.093]","[-0.053,0.064]","[-0.037,0.092]"
"investment","-0.039","0.039","-0.045","0.031"
"","0.038","0.034","0.106","0.081"
"","[-0.085,0.047]","[-0.031,0.079]","[-0.159,0.202]","[-0.076,0.172]"
"rho","0.173","-0.502","0.171","-0.542"
"","0.202","0.255","0.225","0.301"
"","[-0.268,0.378]","[-0.675,0.109]","[-0.369,0.325]","[-0.808,0.074]"
"elasticity of subst","1.21","0.666","1.206","0.648"
"","0.311","0.358","0.669","0.227"
"","[0.788,1.609]","[0.597,1.123]","[0.731,1.481]","[0.553,1.08]"
