"period","intercept","parent_education_coefficient","theta_h","theta_p","ces_delta","mu","rho","control_function_coefficient","residual_sd"
1,3.7835428086415e-05,2.40960487804729e-06,0.99,0.99,0.01,-5,0.99,-0.000128064441825233,0.000114858658533066
2,1.33580278257065,-4.877108616878e-05,0.99,0.99,0.99,0.99,0.99,0.300246496050254,0.0213827461056676
3,2.7787542036455,0.000455851885560474,0.01,0.99,0.99,-0.560367608445898,0.99,-0.864742426774469,0.026465140459837
