"","coefficients","std_errors","t_values","p_values","r_squared","adj_r_squared","f_statistic","f_pvalue"
"(Intercept)",0.000148053756262071,0.00809623395246407,0.0182867438282229,0.985410467526065,2.55859541394125e-05,-0.000174468945139505,0.127894664072863,0.879947503937822
"log(peducation)",-0.00380362538796848,0.0087545914026699,-0.434472063060359,0.663955054715649,2.55859541394125e-05,-0.000174468945139505,0.127894664072863,0.879947503937822
"log(income1)",-0.00175086815645513,0.00674920725421452,-0.259418342111484,0.795317820722522,2.55859541394125e-05,-0.000174468945139505,0.127894664072863,0.879947503937822
