"","Period 3"
"Intercept","-0.849"
"",NA
"","[4.193,4.193]"
"Human Capital 3","0.023"
"",NA
"","[-3.828,-3.828]"
"Highest Grade Completed Mother","0"
"",NA
"","[0,0]"
"Income 3","0"
"",NA
"","[0,0]"
