"","coefficients","std_errors","t_values","p_values","r_squared","adj_r_squared","f_statistic","f_pvalue"
"(Intercept)",-0.849199961858472,0.0147189155938932,-57.6944650875505,0,0.000873510546845811,0.000573652656853829,2.91308174972245,0.0330168796779302
"log(hc3)",0.0231761518733552,0.0110327294959649,2.1006725381812,0.0356947040765023,0.000873510546845811,0.000573652656853829,2.91308174972245,0.0330168796779302
"log(peducation)",0.000491902114154728,0.00025737710193519,1.9112116441446,0.0560059575858601,0.000873510546845811,0.000573652656853829,2.91308174972245,0.0330168796779302
"log(income3)",-0.000168761212705217,0.000176895440282875,-0.95401674817253,0.340098233819299,0.000873510546845811,0.000573652656853829,2.91308174972245,0.0330168796779302
