"","Human Capital without Control Function","Human Capital with Control Function"
"delta","2.054","2.779"
"",NA,NA
"","[0.915,0.915]","[1.319,1.319]"
"control function","0","-0.865"
"",NA,NA
"","[0,0]","[-0.164,-0.164]"
"peducation","0.001","0"
"",NA,NA
"","[0,0]","[0,0]"
"theta_h","0.01","0.01"
"",NA,NA
"","[0.557,0.557]","[0.35,0.35]"
"theta_p","0.99","0.99"
"",NA,NA
"","[0.99,0.99]","[0.99,0.99]"
"ces_delta","0.049","0.99"
"",NA,NA
"","[0.455,0.455]","[0.99,0.99]"
"mu","0.002","-0.56"
"",NA,NA
"","[-0.237,-0.237]","[-0.527,-0.527]"
"rho","0.99","0.99"
"",NA,NA
"","[0.99,0.99]","[0.99,0.99]"
"outer elasticity of substitution","100","100"
"",NA,NA
"","[100,100]","[100,100]"
"inner elasticity of substitution","1.002","0.641"
"",NA,NA
"","[0.809,0.809]","[0.655,0.655]"
