id,period,year,MPUBID_XRND,CRACE_XRND,CSEX_XRND,CYRB_XRND,HGC_OF_MOTHER_AS_OF_MAY_1_R,HOW_MANY_BOOKS,HOW_OFTEN_MOM_READS,HOW_OFT_CH_EATS_W,MOM_HELPS_CH_LEARN_NUMBERS,MOM_HELPS_CH_LEARN_ALPHABET,MOM_HELPS_CH_LEARN_COLORS,MOM_HELPS_CH_LEARN_SHAPES,HOW_OFT_CH_TAKEN_TO_MUSEUM,MUSIC_INSTMT_CH,CH_GET_SPEC_LESSON,HOW_OFT_CH_TAKEN_TO_PERFORMANCE,HOW_OFT_CH_SPEND_TIME_W_DAD,HOW_OFT_CH_W_DAD_OUTDOORS,DO_PARS_DISCUSS_TV,PIAT_MATH,PIAT_READ_REC,PIAT_READ_COMP,PPVT,CHILD_EVER_ENROLLED_IN_HEAD,HOW_LONG_CHILD_WAS_IN_HEAD,IF_LOW_GRADES,TYPE_OF_SCHOOL,CH_ATTENDS_PUBLIC_PRIV_RELI,CHILD_AGE_WHEN_1ST_ATTD_HEA,IS_SCHOOL_GIFTED_HANDICAPPED,OWN_A_HOME_COMPUTER,PARS_HELP_W_HOMEWORK,DOES_CHILD_USE_ANY_COMPUTER,MOMHGC_EVER_XRND,HGC_YEARLY_CHILD,HGC_DLI_XRND,ASSOCIATES_XRND,BA_XRND,BS_XRND,MASTERS_XRND,PROFDEGREE_XRND,SPOUSE_WKSWK_PCY,SPOUSE_HRSWK_PCY,LABOR_INCOME,MOM_RACE_ENCODED,WKSWK_PCY,HRSWK_PCY,HGC_REV_MOM,TNFI_TRUNC,ASVAB_1,ASVAB_2,ASVAB_3,ASVAB_4,ASVAB_5,ASVAB_6,ASVAB_7,ASVAB_8,ASVAB_9,ASVAB_10,ASVAB_11,ASVAB_12,AFQT_1,AFQT_2,AFQT_3,HGC_EVER_XRND,HIGHEST_DEGREE_EVER_XRND
301.0,-1,1980.0,3.0,3.0,2.0,1981.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,6.0,0.0,0.0,0.0,0.0,0.0,,,8008.016032064128,3.0,40.0,1440.0,10.0,8008.016032064128,,,,,,,,,,,,,,,,12.0,1.0
301.0,0,1983.5,3.0,3.0,2.0,1981.0,10.0,20.0,1.0,7.0,1.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,27.0,32.0,33.0,50.0,0.0,,5.0,1.0,1.0,,1.0,1.0,2.0,,12.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,50.666666666666664,44.666666666666664,3497.056016795496,3.0,10.166666666666666,330.0,10.0,25079.15574005153,51.0,0.0,14.0,13.0,29.0,12.0,46.0,72.0,13.0,13.0,13.0,14.0,51.0,46.0,49444.0,12.0,1.0
301.0,1,1988.5,3.0,3.0,2.0,1981.0,10.0,20.0,1.75,7.0,1.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,31.125,35.1875,35.625,76.66666666666666,0.0,,5.0,1.0,1.0,,1.0,1.0,2.0,,12.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,41.0,44.74846273047858,3776.8751789292883,3.0,21.25,1014.5,10.0,41931.15151732036,51.0,0.0,14.0,13.0,29.0,12.0,46.0,72.0,13.0,13.0,13.0,14.0,51.0,46.0,49444.0,12.0,1.0
301.0,2,1993.0,3.0,3.0,2.0,1981.0,11.51178846634151,20.0,3.0,10.5,1.0,2.0,3.0,4.0,0.5,0.5,1.0,0.0673076923076923,1.0,2.5,0.0,51.9,52.15,51.3,111.86666666666667,0.0,,5.0,1.0,1.0,,2.5,1.0,2.0,,12.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,50.87877956135751,56.92716047666664,14899.10891600735,3.0,12.247441336732056,568.6987006024594,11.170779014082433,52876.76253181242,51.0,0.0,14.0,13.0,29.0,12.0,46.0,72.0,13.0,13.0,13.0,14.0,51.0,46.0,49444.0,12.0,1.0
301.0,3,1998.0,3.0,3.0,2.0,1981.0,12.0,20.0,3.0,14.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,0.1346153846153846,1.0,4.0,0.0,57.0,57.0,57.0,114.0,0.0,,5.0,1.0,1.0,,4.0,1.0,2.0,,12.0,11.1,6.0,0.0,0.0,0.0,0.0,0.0,49.75,47.5,24196.392785571144,3.0,18.0,1009.0,12.0,137109.43315201835,51.0,0.0,14.0,13.0,29.0,12.0,46.0,72.0,13.0,13.0,13.0,14.0,51.0,46.0,49444.0,12.0,1.0
302.0,-1,1982.0,3.0,3.0,2.0,1983.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,6.0,0.0,0.0,0.0,0.0,0.0,52.0,40.0,9501.002004008016,3.0,19.0,760.0,10.0,23073.862009733755,,,,,,,,,,,,,,,,12.0,1.0
302.0,0,1985.5,3.0,3.0,2.0,1983.0,10.0,20.0,3.0,14.0,1.0,2.0,3.0,4.0,1.0,0.0,1.0,0.028846153846153844,1.0,7.0,,38.0,42.0,39.0,54.0,0.0,,,1.0,1.0,,,1.0,,,12.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,50.666666666666664,44.499002254619946,1009.4379234659796,3.0,9.0,289.6666666666667,10.0,31760.35146483443,,,,,,,,,,,,,,,,12.0,1.0
302.0,1,1990.5,3.0,3.0,2.0,1983.0,10.0,20.0,2.306530494821634,14.0,1.0,2.0,3.0,4.0,1.0,0.0,1.0,0.028846153846153848,1.0,7.0,,38.0,42.0,39.0,77.125,0.0,,,1.0,1.0,,,1.0,,,12.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,39.5,48.5,6681.07643859147,3.0,18.5,922.5,10.0,38037.92935871744,,,,,,,,,,,,,,,,12.0,1.0
302.0,2,1995.0,3.0,3.0,2.0,1983.0,12.280326134663856,20.0,1.1507479861910241,14.0,1.0,2.0,3.0,4.0,1.0,0.0,1.0,0.028846153846153848,1.0,7.0,,39.8,55.6,47.2,108.1,0.0,,,1.0,1.0,,,1.0,,,12.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,51.75125125246435,57.05562648324356,42818.057033881734,3.0,9.261536666029082,384.7989180097827,11.979087398303879,109481.30794153633,,,,,,,,,,,,,,,,12.0,1.0
302.0,3,2000.0,3.0,3.0,2.0,1983.0,12.0,20.0,1.1507479861910241,14.0,1.0,2.0,3.0,4.0,1.0,0.0,1.0,0.028846153846153848,1.0,7.0,,40.0,58.0,49.0,110.0,0.0,,,1.0,1.0,,,1.0,,,12.0,8.1,6.0,0.0,0.0,0.0,0.0,0.0,44.75,42.5,406.31262525050295,3.0,28.5,1869.5,12.0,128859.05911378996,,,,,,,,,,,,,,,,12.0,1.0
