,count,mean,std,min,25%,50%,75%,max,Category,Description
ASVAB_2,3527.0,0.4729231641621775,0.4993370994674466,0.0,0.0,0.0,1.0,1.0,Parent_Characteristics,ASVAB: high school graduate status (yes/no)
HGC_REV_MOM,11527.0,12.08709985252017,2.4897943998943814,0.0,11.0,12.0,13.0,20.0,Parent_Characteristics,"Mother's highest grade completed (revised, years in school)"
HIGHEST_DEGREE_EVER_MOM_XRND,9907.0,1.8577773291611992,1.42071605406493,1.0,1.0,1.0,2.0,8.0,Parent_Characteristics,"Highest degree ever received (cross-round, categorical)"
HRSWK_PCY_P0,11374.0,864.3100225848556,780.1737772399912,0.0,125.70833333333334,666.0,1518.25,4082.0,Time_Investment, Period 0: Hours worked per week (hours)
LABOR_INCOME_P1,10281.0,26679.945681645568,48073.54200327203,0.0,761.666189521901,10461.36916690524,33093.61580303465,935255.630068709,Time_Investment," Period 1: Income from wages, salary, commissions, and tips before taxes (USD)"
LABOR_INCOME_P2,9553.0,39973.98496446367,59750.956171235885,0.0,3803.367374749499,21495.99198396794,52259.08960778701,912848.8422244492,Time_Investment," Period 2: Income from wages, salary, commissions, and tips before taxes (USD)"
LABOR_INCOME_P3,8713.0,57725.42717472559,77996.58480620646,0.0,8076.324076724879,35803.60721442886,76857.37188663041,1125711.035213284,Time_Investment," Period 3: Income from wages, salary, commissions, and tips before taxes (USD)"
WKSWK_PCY_P-1,8635.0,28.37243775332947,22.038787590628125,0.0,0.0,33.0,52.0,52.0,Time_Investment, Period -1: Weeks worked per year (weeks)
WKSWK_PCY_P0,11384.0,23.88880615144011,19.098166157732347,0.0,4.833333333333333,21.4,43.583333333333336,52.0,Time_Investment, Period 0: Weeks worked per year (weeks)
WKSWK_PCY_P1,10352.0,29.16336488522479,20.616251760084857,0.0,6.5,33.04166666666667,50.875,52.5,Time_Investment, Period 1: Weeks worked per year (weeks)
WKSWK_PCY_P2,9649.0,33.56014378606849,19.67444748578428,0.0,15.6,42.0,52.0,52.0,Time_Investment, Period 2: Weeks worked per year (weeks)
HOW_OFT_CH_TAKEN_TO_PERFORMANCE_P1,1177.0,0.04897842795949842,0.11389648500409234,0.0,0.0,0.021634615384615384,0.03365384615384615,1.0,Time_Investment," Period 1: How often child is taken to performances (frequency, times per week)"
HOW_OFT_CH_TAKEN_TO_PERFORMANCE_P2,8512.0,0.05413972076872265,0.09134957295769706,0.0,0.008112980769230768,0.028846153846153844,0.08173076923076923,1.0,Time_Investment," Period 2: How often child is taken to performances (frequency, times per week)"
HOW_OFT_CH_TAKEN_TO_PERFORMANCE_P3,502.0,0.04094020896805802,0.08829670198429783,0.0,0.0,0.014423076923076924,0.028846153846153848,1.0,Time_Investment," Period 3: How often child is taken to performances (frequency, times per week)"
WKSWK_PCY_P3,8875.0,36.150118723451826,19.586696329348143,0.0,21.25,47.2,52.0,52.0,Time_Investment, Period 3: Weeks worked per year (weeks)
HOW_OFT_CH_SPEND_TIME_W_DAD_P1,1017.0,1.7923959357587675,1.1782828624068729,1.0,1.0,1.0,2.25,7.0,Time_Investment," Period 1: How often child spends time with father (frequency, times per week)"
HOW_OFT_CH_SPEND_TIME_W_DAD_P3,496.0,2.810223454301075,1.8862271513881803,1.0,1.0,2.0,4.0,7.0,Time_Investment," Period 3: How often child spends time with father (frequency, times per week)"
HOW_OFT_CH_W_DAD_OUTDOORS_P1,928.0,2.7726588232612994,2.4223876636021195,0.05769230769230769,1.0,1.75,4.380408653846153,7.0,Time_Investment," Period 1: How often child spends time outdoors with father (frequency, times per week)"
TNFI_TRUNC_P3,8323.0,162570.05826823664,216242.9071849338,0.0,43424.52576581735,100186.63870598341,203394.76288290872,3074611.1566784466,Time_Investment, Period 3: Total net family income (from NLSY79) (USD)
TNFI_TRUNC_P2,9357.0,127612.08770100144,180502.76966794595,0.0,32288.0303464071,72402.48296593188,152437.76427139994,2563776.858257229,Time_Investment, Period 2: Total net family income (from NLSY79) (USD)
TNFI_TRUNC_P1,10086.0,95556.76776180086,150493.77269027272,0.0,22577.92977240195,50068.14470011451,108119.20932042657,1906989.903144235,Time_Investment, Period 1: Total net family income (from NLSY79) (USD)
HRSWK_PCY_P-1,8525.0,1046.2452785923754,926.8653550827428,0.0,0.0,960.0,1976.0,4992.0,Time_Investment, Period -1: Hours worked per week (hours)
TNFI_TRUNC_P0,11079.0,67663.77873162035,118658.66816072392,0.0,16155.768624550688,33053.68010624424,72463.66638037981,1852426.0841683368,Time_Investment, Period 0: Total net family income (from NLSY79) (USD)
TNFI_TRUNC_P-1,7221.0,53582.32793752263,134797.13951979193,0.0,12085.274549098196,27264.72945891784,57990.26624677927,2169345.51961065,Time_Investment, Period -1: Total net family income (from NLSY79) (USD)
HRSWK_PCY_P3,8866.0,1428.6651250381174,923.4590801506911,0.0,645.2,1632.75,2080.0,8625.5,Time_Investment, Period 3: Hours worked per week (hours)
HRSWK_PCY_P2,9641.0,1280.71090962324,881.5198388243699,0.0,440.0,1384.0,2047.5,6436.3,Time_Investment, Period 2: Hours worked per week (hours)
HRSWK_PCY_P1,10351.0,1081.3814697160492,880.5411014159258,0.0,179.625,1035.875,1908.8125,5877.0,Time_Investment, Period 1: Hours worked per week (hours)
LABOR_INCOME_P0,11331.0,16157.54389828261,33326.16748452479,0.0,397.2829127643041,4359.640232846646,17550.775360244297,707509.1282450617,Time_Investment," Period 0: Income from wages, salary, commissions, and tips before taxes (USD)"
HOW_OFT_CH_SPEND_TIME_W_DAD_P2,8299.0,2.1116100333373495,1.498574586117135,1.0,1.0,1.4,3.0,7.0,Time_Investment," Period 2: How often child spends time with father (frequency, times per week)"
LABOR_INCOME_P-1,8251.0,14470.597124890224,25639.50287953273,0.0,0.0,4576.0091611795015,19262.5250501002,801717.2997423419,Time_Investment," Period -1: Income from wages, salary, commissions, and tips before taxes (USD)"
PARS_HELP_W_HOMEWORK_P0,0.0,,,,,,,,Time_Investment," Period 0: Parents help child with homework (frequency, times per week)"
SPOUSE_HRSWK_PCY_P2,7152.0,43.76719434221472,10.926313902858944,0.0,40.0,42.0,49.0,122.4,Time_Investment, Period 2: Spouse's hours worked per year (hours)
HOW_OFT_CH_EATS_W_P1,1015.0,7.091685368683404,4.709511709865114,0.0,4.0,7.0,12.25,14.0,Time_Investment," Period 1: How often child eats with family (frequency, times per week)"
HOW_OFT_CH_EATS_W_P2,8302.0,5.712084588051071,4.11732716752547,0.0,2.5,5.5,7.115074798619102,14.0,Time_Investment," Period 2: How often child eats with family (frequency, times per week)"
HOW_OFT_CH_EATS_W_P3,495.0,5.335325560941212,4.643624871564727,0.0,0.5,5.25,7.0,14.0,Time_Investment," Period 3: How often child eats with family (frequency, times per week)"
MOM_HELPS_CH_LEARN_NUMBERS_P0,3736.0,0.9884903640256959,0.10005885087831079,0.0,1.0,1.0,1.0,1.0,Time_Investment, Period 0: Mother helps child learn numbers (yes/no)
MOM_HELPS_CH_LEARN_ALPHABET_P0,3663.0,0.9846209846209846,0.11385094519072571,0.0,1.0,1.0,1.0,1.0,Time_Investment, Period 0: Mother helps child learn alphabet (yes/no)
MOM_HELPS_CH_LEARN_COLORS_P0,3731.0,0.986598767086572,0.10666910257341446,0.0,1.0,1.0,1.0,1.0,Time_Investment, Period 0: Mother helps child learn colors (yes/no)
HOW_OFT_CH_EATS_W_P0,11.0,8.654545454545454,6.074607170239675,0.0,3.35,13.125,14.0,14.0,Time_Investment," Period 0: How often child eats with family (frequency, times per week)"
MOM_HELPS_CH_LEARN_SHAPES_P0,3381.0,0.9593808537907915,0.18612229859874685,0.0,1.0,1.0,1.0,1.0,Time_Investment, Period 0: Mother helps child learn shapes (yes/no)
HOW_OFT_CH_TAKEN_TO_MUSEUM_P1,1929.0,0.0744351851131656,0.12021571852239703,0.0,0.01201923076923077,0.028846153846153848,0.10817307692307691,1.0,Time_Investment," Period 1: How often child is taken to a museum (frequency, times per week)"
HOW_OFT_CH_TAKEN_TO_MUSEUM_P2,8237.0,0.07260561003889122,0.10561409585143464,0.0,0.014423076923076922,0.028846153846153848,0.10942949455607684,1.0,Time_Investment," Period 2: How often child is taken to a museum (frequency, times per week)"
HOW_OFT_CH_TAKEN_TO_MUSEUM_P3,505.0,0.05238788186267507,0.08473349438651914,0.0,0.0,0.028846153846153848,0.08173076923076923,1.0,Time_Investment," Period 3: How often child is taken to a museum (frequency, times per week)"
PARS_HELP_W_HOMEWORK_P3,6966.0,0.45755168041253796,0.48921466743512154,0.0,0.11507479861910243,0.23014959723820483,0.8075373993095512,1.5,Time_Investment," Period 3: Parents help child with homework (frequency, times per week)"
PARS_HELP_W_HOMEWORK_P2,79.0,0.7138279121935587,0.6281964120739038,0.0,0.11507479861910243,0.34522439585730724,1.5,1.5,Time_Investment," Period 2: Parents help child with homework (frequency, times per week)"
PARS_HELP_W_HOMEWORK_P1,0.0,,,,,,,,Time_Investment," Period 1: Parents help child with homework (frequency, times per week)"
HOW_OFT_CH_TAKEN_TO_MUSEUM_P0,645.0,0.08148986010555043,0.1320077147364716,0.0,0.003605769230769231,0.028846153846153848,0.1346153846153846,1.0,Time_Investment," Period 0: How often child is taken to a museum (frequency, times per week)"
SPOUSE_HRSWK_PCY_P3,5858.0,44.23095834580107,10.458942153022976,0.0,40.0,42.4,49.375,112.0,Time_Investment, Period 3: Spouse's hours worked per year (hours)
HOW_OFTEN_MOM_READS_P1,8542.0,2.372765065670111,1.9808201572882502,0.0,1.0,2.0,3.0,7.0,Time_Investment," Period 1: How often mother reads to child (frequency, times per week)"
IF_LOW_GRADES_P2,8385.0,4.257296710395548,1.1307890336101591,1.0,4.0,5.0,5.0,5.0,Time_Investment," Period 2: If low grades, mother would help child with schoolwork (1 = very likely, 5 = not at all likely)"
SPOUSE_HRSWK_PCY_P1,7937.0,43.59906114789307,10.87792803437193,0.0,40.0,41.875,48.625,115.5,Time_Investment, Period 1: Spouse's hours worked per year (hours)
SPOUSE_HRSWK_PCY_P0,8930.0,43.361620218458405,9.543689779890896,0.0,40.0,41.666666666666664,47.5,113.75,Time_Investment, Period 0: Spouse's hours worked per year (hours)
SPOUSE_HRSWK_PCY_P-1,5023.0,43.537328289866615,11.576428203609925,0.0,40.0,40.0,50.0,112.0,Time_Investment, Period -1: Spouse's hours worked per year (hours)
SPOUSE_WKSWK_PCY_P3,5982.0,47.89433486906441,9.494441737474416,0.0,49.5,52.0,52.0,52.0,Time_Investment, Period 3: Spouse's weeks worked per year (weeks)
SPOUSE_WKSWK_PCY_P2,7252.0,47.14553684123486,10.315410858954708,0.0,48.25,51.9,52.0,52.0,Time_Investment, Period 2: Spouse's weeks worked per year (weeks)
SPOUSE_WKSWK_PCY_P1,8032.0,46.48272991070598,10.918103436306497,0.0,47.15625,51.5,52.0,52.0,Time_Investment, Period 1: Spouse's weeks worked per year (weeks)
IF_LOW_GRADES_P3,491.0,3.545773930753564,1.2468823209340099,1.0,3.0,4.0,5.0,5.0,Time_Investment," Period 3: If low grades, mother would help child with schoolwork (1 = very likely, 5 = not at all likely)"
SPOUSE_WKSWK_PCY_P0,9017.0,45.86064578513663,10.810466087028727,0.0,45.0,51.0,52.0,52.0,Time_Investment, Period 0: Spouse's weeks worked per year (weeks)
HOW_OFT_CH_W_DAD_OUTDOORS_P2,7499.0,2.724617660004093,2.360105945258759,0.05769230769230769,0.7173076923076922,2.1150747986191027,4.0,7.0,Time_Investment," Period 2: How often child spends time outdoors with father (frequency, times per week)"
HOW_OFT_CH_W_DAD_OUTDOORS_P3,408.0,2.618898334991619,2.6115380362853657,0.05769230769230769,0.2932692307692308,1.0,4.0,7.0,Time_Investment," Period 3: How often child spends time outdoors with father (frequency, times per week)"
DO_PARS_DISCUSS_TV_P1,1141.0,0.7845822378030967,0.3767008109945022,0.0,0.75,1.0,1.0,1.0,Time_Investment, Period 1: Do parents discuss TV programs with child (yes/no)
DO_PARS_DISCUSS_TV_P2,8460.0,0.8019941883372733,0.33160844922190963,0.0,0.6,1.0,1.0,1.0,Time_Investment, Period 2: Do parents discuss TV programs with child (yes/no)
DO_PARS_DISCUSS_TV_P3,495.0,0.6721717171717172,0.42829636771244434,0.0,0.25,1.0,1.0,1.0,Time_Investment, Period 3: Do parents discuss TV programs with child (yes/no)
IF_LOW_GRADES_P1,88.0,4.079450757575757,1.356371075699063,1.0,3.6125,5.0,5.0,5.0,Time_Investment," Period 1: If low grades, mother would help child with schoolwork (1 = very likely, 5 = not at all likely)"
SPOUSE_WKSWK_PCY_P-1,5196.0,46.79695919938414,11.677432246025244,0.0,49.0,52.0,52.0,52.0,Time_Investment, Period -1: Spouse's weeks worked per year (weeks)
HOW_OFTEN_MOM_READS_P0,68.0,2.3832508443483174,1.8950453227459632,0.0,1.0589744511817296,1.6754807692307692,3.0,7.0,Time_Investment," Period 0: How often mother reads to child (frequency, times per week)"
